latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
33.84033,-5.6382,332.41,0.45,0.47,2023-01-01,1256,N,VIIRS,n,2,295.43,2.29,D,0
29.40438,-9.01239,337.86,0.57,0.69,2023-01-01,1436,N,VIIRS,n,2,292.39,4.45,D,0
29.40406,-9.01355,336.19,0.57,0.69,2023-01-01,1436,N,VIIRS,n,2,292.25,3.15,D,0
34.59477,-2.34885,298.55,0.34,0.56,2023-01-02,0118,N,VIIRS,n,2,277.27,0.8,N,2
33.55703,-7.52066,300.68,0.66,0.73,2023-01-02,0118,N,VIIRS,n,2,279.15,1.64,N,0
33.0565,-7.53306,302.07,0.33,0.55,2023-01-02,0259,N,VIIRS,n,2,281.13,0.7,N,2
33.05347,-7.53343,299.56,0.33,0.55,2023-01-02,0259,N,VIIRS,n,2,280.21,0.87,N,2
33.1894,-8.49099,296.58,0.58,0.52,2023-01-02,0259,N,VIIRS,n,2,279.61,0.85,N,0
33.79373,-4.34255,355.49,0.35,0.57,2023-01-02,1237,N,VIIRS,n,2,291.59,6.04,D,0
33.84091,-5.723,326.67,0.5,0.66,2023-01-02,1418,N,VIIRS,n,2,294.22,2.19,D,0
35.18121,-5.58804,325.42,0.53,0.67,2023-01-02,1418,N,VIIRS,n,2,289.19,7.79,D,0
35.18102,-5.59263,341.56,0.53,0.67,2023-01-02,1418,N,VIIRS,n,2,289.16,6.59,D,0
31.52273,-7.79738,333.89,0.39,0.44,2023-01-03,1358,N,VIIRS,n,2,298.32,1.49,D,0
34.59514,-2.34732,301.26,0.54,0.42,2023-01-04,0221,N,VIIRS,n,2,278.75,1.35,N,2
35.0015,-5.97341,302.68,0.4,0.37,2023-01-04,0221,N,VIIRS,n,2,281.19,0.45,N,0
34.03838,-5.25699,326.16,0.42,0.38,2023-01-04,0221,N,VIIRS,n,2,279.19,1.95,N,0
33.91101,-5.49386,295.87,0.42,0.37,2023-01-04,0221,N,VIIRS,n,2,280.14,0.66,N,0
33.36753,-7.75028,308.57,0.38,0.36,2023-01-04,0221,N,VIIRS,n,2,284.3,1.24,N,2
33.05361,-7.53389,296.7,0.39,0.36,2023-01-04,0221,N,VIIRS,n,2,282.99,0.5,N,2
32.56747,-6.13643,295.13,0.41,0.37,2023-01-04,0221,N,VIIRS,n,2,278.23,0.64,N,2
30.35141,-9.51863,300.62,0.39,0.36,2023-01-04,0222,N,VIIRS,n,2,279.3,0.49,N,0
30.22083,-9.15391,302.41,0.38,0.36,2023-01-04,0222,N,VIIRS,n,2,284.3,0.68,N,2
30.48103,-8.85085,344.3,0.38,0.36,2023-01-04,1339,N,VIIRS,n,2,294.92,4.53,D,0
30.55721,-8.59945,341.92,0.38,0.36,2023-01-04,1339,N,VIIRS,n,2,289.44,7.07,D,0
33.87899,-5.29112,333.51,0.48,0.4,2023-01-04,1340,N,VIIRS,n,2,292.67,3.33,D,0
33.87712,-5.29328,329.96,0.48,0.4,2023-01-04,1340,N,VIIRS,n,2,292.6,2.31,D,0
34.83094,-4.37776,346.2,0.54,0.42,2023-01-04,1340,N,VIIRS,n,2,296.01,11.16,D,0
34.83073,-4.37925,339.77,0.54,0.42,2023-01-04,1340,N,VIIRS,n,2,295.71,10.9,D,0
35.37959,-5.37851,327.27,0.5,0.41,2023-01-04,1341,N,VIIRS,n,2,288.24,1.78,D,0
34.59646,-2.34772,303.76,0.39,0.36,2023-01-05,0202,N,VIIRS,n,2,280.03,1.12,N,2
33.91059,-5.49538,296.72,0.41,0.37,2023-01-05,0202,N,VIIRS,n,2,281.23,0.53,N,0
33.05813,-1.99674,300.8,0.4,0.37,2023-01-05,0202,N,VIIRS,n,2,272.03,0.46,N,0
33.55128,-7.53758,311.88,0.48,0.4,2023-01-05,0202,N,VIIRS,n,2,281.84,0.94,N,0
34.50686,-4.81143,334.09,0.38,0.36,2023-01-05,1321,N,VIIRS,n,2,297.56,4.7,D,0
34.86695,-4.78523,333.41,0.38,0.36,2023-01-05,1322,N,VIIRS,n,2,297.87,2.51,D,0
35.00227,-5.97137,300.66,0.49,0.48,2023-01-06,0143,N,VIIRS,n,2,280.58,0.87,N,0
34.59662,-2.34658,300.84,0.48,0.4,2023-01-06,0143,N,VIIRS,n,2,278.29,1.22,N,2
33.36706,-7.74956,297.56,0.38,0.59,2023-01-07,0305,N,VIIRS,n,2,282.97,0.58,N,2
33.05429,-7.53614,295.68,0.4,0.6,2023-01-07,0305,N,VIIRS,n,2,281.63,0.99,N,0
34.85584,-2.59607,339.7,0.43,0.46,2023-01-07,1244,N,VIIRS,n,2,294,3.99,D,0
30.08665,-9.57385,349.87,0.34,0.56,2023-01-07,1423,N,VIIRS,n,2,298.67,3.42,D,0
33.63445,-7.43787,305.79,0.43,0.46,2023-01-08,0246,N,VIIRS,n,2,282.75,0.86,N,2
33.36629,-7.75094,298,0.42,0.45,2023-01-08,0246,N,VIIRS,n,2,282.52,0.73,N,0
33.05559,-7.53236,299.27,0.44,0.46,2023-01-08,0246,N,VIIRS,n,2,280.49,0.97,N,2
32.40665,-8.55824,296,0.4,0.44,2023-01-08,0247,N,VIIRS,n,2,281.14,0.27,N,0
30.22077,-9.15022,296.93,0.41,0.45,2023-01-08,0247,N,VIIRS,n,2,282.92,1.16,N,2
34.59481,-2.34827,297.75,0.43,0.46,2023-01-09,0227,N,VIIRS,n,2,281.87,0.77,N,2
33.36594,-7.74892,302.9,0.4,0.37,2023-01-09,0228,N,VIIRS,n,2,283.9,1.05,N,0
32.37597,-8.49184,313.66,0.4,0.37,2023-01-09,0228,N,VIIRS,n,2,281.66,1.31,N,0
32.37526,-8.48767,303.53,0.4,0.37,2023-01-09,0228,N,VIIRS,n,2,280.48,0.83,N,0
32.37193,-8.48845,298.03,0.4,0.37,2023-01-09,0228,N,VIIRS,n,2,280.58,0.6,N,0
30.21923,-9.15317,302.42,0.4,0.37,2023-01-09,0229,N,VIIRS,n,2,284.11,0.96,N,0
35.25684,-2.95027,296.84,0.39,0.37,2023-01-10,0208,N,VIIRS,n,2,286.01,0.14,N,0
34.59664,-2.34705,307.04,0.41,0.37,2023-01-10,0208,N,VIIRS,n,2,282.64,1.52,N,2
33.36632,-7.74911,301.4,0.43,0.38,2023-01-10,0209,N,VIIRS,n,2,284.4,0.82,N,0
33.05591,-7.53553,297.13,0.42,0.38,2023-01-10,0209,N,VIIRS,n,2,283.07,0.58,N,2
31.99953,-9.01925,298.57,0.46,0.39,2023-01-10,0209,N,VIIRS,n,2,282.98,0.52,N,0
31.84231,-4.27769,352,0.4,0.37,2023-01-10,1327,N,VIIRS,n,2,322.29,59.9,D,0
33.71223,-7.21935,332.33,0.39,0.36,2023-01-10,1328,N,VIIRS,n,2,299.51,4.22,D,0
33.71156,-7.22352,329.84,0.39,0.36,2023-01-10,1328,N,VIIRS,n,2,294.83,4.22,D,0
34.59568,-2.34605,306.45,0.42,0.38,2023-01-11,0150,N,VIIRS,n,2,280.98,1.56,N,2
34.06487,-6.08092,325.92,0.49,0.4,2023-01-11,1309,N,VIIRS,n,2,290.78,2.09,D,0
32.3737,-8.42758,367,0.48,0.65,2023-01-12,0131,N,VIIRS,h,2,283.96,13.19,N,0
32.3888,-8.44737,315.31,0.45,0.63,2023-01-12,0312,N,VIIRS,n,2,280.73,1.81,N,0
34.5943,-2.3483,295.65,0.42,0.61,2023-01-13,0112,N,VIIRS,n,2,278.38,0.75,N,2
33.05553,-7.53442,295.33,0.54,0.5,2023-01-13,0253,N,VIIRS,n,2,281.31,0.8,N,2
33.83904,-5.63788,333.77,0.41,0.61,2023-01-13,1412,N,VIIRS,n,2,292.96,4.66,D,0
34.02114,-5.62627,328.69,0.42,0.61,2023-01-13,1412,N,VIIRS,n,2,293.82,2.17,D,0
34.50714,-4.81226,327.39,0.47,0.64,2023-01-13,1412,N,VIIRS,n,2,292.87,2.05,D,0
33.3679,-7.75007,301.22,0.45,0.39,2023-01-14,0234,N,VIIRS,n,2,283.91,0.94,N,2
32.37579,-8.4922,317.62,0.44,0.38,2023-01-14,0234,N,VIIRS,n,2,280.19,1.62,N,0
32.37495,-8.48762,296.76,0.44,0.38,2023-01-14,0234,N,VIIRS,n,2,278.64,0.93,N,0
30.22075,-9.15097,296.62,0.44,0.38,2023-01-14,0235,N,VIIRS,n,2,284.83,0.57,N,2
34.59481,-2.34585,303.34,0.46,0.39,2023-01-15,0215,N,VIIRS,n,2,279.69,0.98,N,2
33.36772,-7.75157,300.54,0.39,0.36,2023-01-15,0215,N,VIIRS,n,2,282.8,0.97,N,2
33.05481,-7.53334,295.95,0.39,0.36,2023-01-15,0215,N,VIIRS,n,2,280.36,0.68,N,2
32.45814,-5.74329,331.83,0.4,0.37,2023-01-15,1334,N,VIIRS,n,2,296.79,0.85,D,0
32.85035,-5.34338,332.35,0.41,0.37,2023-01-15,1334,N,VIIRS,n,2,299.44,6.38,D,0
33.90761,-4.32766,331.68,0.46,0.39,2023-01-15,1334,N,VIIRS,n,2,296.45,4.85,D,0
33.90702,-4.33242,330.66,0.46,0.39,2023-01-15,1334,N,VIIRS,n,2,294.21,3.26,D,0
35.28843,-5.27173,325.77,0.43,0.38,2023-01-15,1334,N,VIIRS,n,2,294.06,2.5,D,0
34.59558,-2.34717,312.72,0.39,0.36,2023-01-16,0156,N,VIIRS,n,2,279.86,1.71,N,2
32.38911,-8.44121,317.22,0.42,0.45,2023-01-16,0157,N,VIIRS,n,2,278.49,2.32,N,0
31.70724,-8.07059,304.08,0.39,0.44,2023-01-16,0157,N,VIIRS,n,2,280,0.56,N,0
34.59512,-2.3493,298.31,0.56,0.43,2023-01-17,0137,N,VIIRS,n,2,278.63,0.92,N,2
33.05613,-7.53475,295.6,0.35,0.57,2023-01-17,0138,N,VIIRS,n,2,279.96,0.57,N,2
30.35196,-9.52029,295.94,0.43,0.62,2023-01-17,0138,N,VIIRS,n,2,281.98,0.3,N,0
33.36666,-7.75081,296.25,0.53,0.42,2023-01-19,0240,N,VIIRS,n,2,281.07,0.83,N,0
30.39295,-9.49134,302.49,0.49,0.4,2023-01-19,0241,N,VIIRS,n,2,282.29,0.53,N,0
30.21911,-9.15161,295.96,0.51,0.41,2023-01-19,0241,N,VIIRS,n,2,283.6,0.95,N,0
32.68722,-7.88723,327.18,0.4,0.44,2023-01-19,1359,N,VIIRS,n,2,293.24,1.91,D,0
33.3682,-7.75197,297.74,0.38,0.36,2023-01-20,0222,N,VIIRS,n,2,279.18,0.76,N,2
32.37214,-8.42591,316.53,0.38,0.36,2023-01-20,0222,N,VIIRS,n,2,278.18,1.25,N,0
30.5182,-9.31933,327.46,0.38,0.36,2023-01-20,0222,N,VIIRS,n,2,283.04,1.46,N,0
30.36542,-9.47295,309.46,0.39,0.36,2023-01-20,0222,N,VIIRS,n,2,281.06,1.05,N,0
30.22077,-9.15245,299.11,0.38,0.36,2023-01-20,0222,N,VIIRS,n,2,285.08,0.94,N,2
32.48877,-6.25988,332.29,0.43,0.38,2023-01-20,1340,N,VIIRS,n,2,295.89,2.32,D,0
33.13599,-8.60428,328.52,0.39,0.36,2023-01-20,1340,N,VIIRS,n,2,294.54,1.85,D,0
33.55421,-7.53901,303.35,0.48,0.4,2023-01-21,0203,N,VIIRS,n,2,279.86,0.85,N,0
32.36516,-8.427,331.82,0.52,0.41,2023-01-21,0203,N,VIIRS,n,2,279.64,3.94,N,0
32.3723,-8.48813,297.54,0.52,0.41,2023-01-21,0203,N,VIIRS,n,2,277.79,1.09,N,0
32.36134,-8.42763,334.14,0.52,0.41,2023-01-21,0203,N,VIIRS,n,2,279.78,5.37,N,0
30.289,-9.5192,336.74,0.39,0.44,2023-01-21,1321,N,VIIRS,n,2,297.25,3.45,D,0
32.60668,-6.70475,326.81,0.41,0.37,2023-01-21,1321,N,VIIRS,n,2,300.36,1.81,D,0
35.03804,-3.00474,295.41,0.51,0.41,2023-01-22,0143,N,VIIRS,n,2,281.85,0.84,N,0
32.37487,-8.49211,298.16,0.63,0.54,2023-01-22,0144,N,VIIRS,n,2,278.6,0.9,N,0
30.35741,-9.49632,315.77,0.35,0.56,2023-01-22,0145,N,VIIRS,n,2,280.3,0.71,N,0
35.81599,-5.47616,328.23,0.51,0.41,2023-01-22,1303,N,VIIRS,n,2,285.58,2.92,D,0
35.00257,-5.97465,295.66,0.45,0.63,2023-01-23,0124,N,VIIRS,n,2,277.55,0.83,N,0
33.53593,-7.75656,308.07,0.56,0.68,2023-01-23,0125,N,VIIRS,n,2,281.69,1.19,N,0
33.5352,-7.75509,320.09,0.55,0.68,2023-01-23,0125,N,VIIRS,n,2,282.11,1.87,N,0
34.59242,-5.99763,296.48,0.44,0.63,2023-01-23,0305,N,VIIRS,n,2,277.34,0.37,N,0
